"id","route_name","route_id","predicates","filters","uri","order","metadata","create_time","update_time","del_flag"
1,监控管理,monitor-center,"[{""args"": {""_genkey_0"": ""/monitor-center/**""}, ""name"": ""Path""}]","[]",lb://monitor-center,0,"{""version"": ""1""}","2021-12-27 10:43:25","2022-01-06 10:40:46","0"
2,百度,baidu,"[{""args"": {""_genkey_0"": ""/baidu/**""}, ""name"": ""Path""}]","[]",https://www.baidu.com,0,"{""version"": ""1""}","2022-06-03 16:39:53","2022-07-03 13:55:04","0"
